g_m_t,airport_id,iata_code,city_iata,icao_code,geoname_id,latitude,longitude,airport_name,country
10,594,BDB,BDB,YBUD,7668694.0,-24.898708,152.32187,Bundaberg,Australia
10,596,BDD,BDD,YBAU,7730854.0,-10.148655,142.17166,Badu Island,Australia
8,615,BDW,BDW,,8261025.0,-17.3,127.46667,Bedford Downs,Australia
8,622,BEE,BEE,,8299011.0,-16.966667,122.666664,Beagle Bay,Australia
10,631,BEO,NTL,YPEC,7668757.0,-33.033333,151.66667,Belmont,Australia
10,636,BEU,BEU,YBIE,7730242.0,-24.23,139.445,Bedourie,Australia
10,644,BFC,BFC,,7730858.0,-15.9,145.33333,Bloomfield,Australia
9.30,706,BHQ,BHQ,YBHI,7668685.0,-31.998983,141.46857,Broken Hill,Australia
10,708,BHS,BHS,YBTH,7730002.0,-33.41387,149.65518,Raglan,Australia
10,709,BHT,BHT,,8298711.0,-23.366667,141.56667,Brighton Downs,Australia
10,729,BIP,BIP,,2207247.0,-16.15,143.75,Bulimba,Australia
8,736,BIW,BIW,,8298692.0,-19.566668,127.166664,Billiluna,Australia
10,777,BKP,BKP,,8298911.0,-20.5,138.5,Barkly Downs,Australia
10,778,BKQ,BKQ,YBCK,7668684.0,-24.434168,145.42833,Blackall,Australia
10,800,BLN,BLN,YBLA,7668687.0,-36.55,145.98334,Benalla,Australia
10,805,BLS,BLS,YBLL,7730869.0,-28.05,147.48334,Bollon,Australia
10,806,BLT,BLT,YBTR,7668693.0,-23.602184,148.8084,Blackwater,Australia
8,816,BME,BME,YBRM,6301303.0,-17.95264,122.23429,Broome,Australia
10,827,BMP,BMP,YBPI,7730872.0,-20.783333,149.23334,Brampton Island,Australia
10,842,BNE,BNE,YBBN,6301292.0,-27.40303,153.10905,Brisbane International,Australia
10,847,BNK,BNK,YBNA,7730243.0,-28.837606,153.5564,Ballina Byron Gateway,Australia
9.30,881,BOX,BOX,BOCH,7730876.0,-16.066668,136.28334,Borroloola,Australia
8,902,BQB,BQB,,7730187.0,-33.716667,115.25,Bussellton,Australia
10,909,BQL,BQL,YBOU,7730244.0,-22.9,139.9,Boulia,Australia
8,917,BQW,BQW,YBGO,7730877.0,-20.183332,127.8,Balgo Hills,Australia
10,926,BRJ,BRJ,,8298890.0,-36.7,146.93333,Bright,Australia
10,927,BRK,BRK,YBKE,7668686.0,-30.083332,145.93333,Bourke,Australia
9.30,936,BRT,BRT,YBTI,7668692.0,-11.766667,130.63333,Bathurst Island,Australia
10,952,BSJ,BSJ,YBNS,7668688.0,-37.833332,147.63333,Bairnsdale,Australia
9.30,972,BTD,BTD,,8298768.0,-18.666668,135.91667,Brunette Downs,Australia
10,992,BTX,BTX,YBEO,7730883.0,-25.7,140.73334,Betoota,Australia
10,996,BUC,BUC,YBKT,7730884.0,-17.75,139.53334,Burketown,Australia
8,1014,BUY,BUY,KBUY,7730888.0,-33.316666,115.63333,Bunbury,Australia
10,1023,BVI,BVI,YBDV,7730240.0,-25.898333,139.34334,Birdsville,Australia
8,1034,BVZ,BVZ,YBYS,7730893.0,-15.0,124.0,Beverley Springs,Australia
8,1036,BWB,BWB,YBWX,7730894.0,-20.783333,115.416664,Barrow Island,Australia
10,1051,BWQ,BWQ,YBRW,7668690.0,-29.95,146.86667,Brewarrina,Australia
10,1052,BWT,BWT,YBUI,7668786.0,-40.993145,145.72507,Burnie Wynyard,Australia
10,1053,BWU,SYD,YSBK,6301341.0,-33.916668,151.03334,Sydney Bankstown,Australia
8,1060,BXF,BXF,,8298752.0,-17.545555,128.30779,Belburn,Australia
10,1061,BXG,BXG,YBDG,2176187.0,-36.734722,144.30194,Bendigo,Australia
9.30,1099,BYX,BYX,,7730900.0,-13.2,136.23334,Baniyala,Australia
10,1103,BZD,BZD,YBRN,7668689.0,-34.61667,143.61667,Balranald,Australia
10,1114,BZP,BZP,,8299051.0,-15.216667,144.63333,Bizant,Australia
10,1147,CAZ,CAZ,YCBA,7668696.0,-31.535,145.79333,Cobar,Australia
8,1150,CBC,CBC,,8298689.0,-18.916668,125.55,Cherrabun,Australia
10,1156,CBI,CBI,YCBN,7730903.0,-40.333332,148.16667,Cape Barren Island,Australia
10,1165,CBR,CBR,YSCB,6301342.0,-35.30735,149.19052,Canberra,Australia
10,1171,CBX,CBX,YCDO,7730904.0,-33.86667,148.25,Condobolin,Australia
10,1172,CBY,CBY,YCBE,7730905.0,-19.478611,140.92612,Canobie,Australia
10,1184,CCL,CCL,YCCA,7668698.0,-26.75,150.63333,Chinchilla,Australia
9.30,1194,CCW,CCW,YCWL,7730907.0,-33.63333,136.83333,Cowell,Australia
9.30,1198,CDA,CDA,YCOO,7730908.0,-12.905278,132.5225,Cooinda,Australia
10,1212,CDQ,CDQ,YCRY,7730909.0,-18.3,142.25,Croydon,Australia
10,1216,CDU,CDU,YSCN,6301345.0,-15.45,124.416664,Camden,Australia
9.30,1224,CED,CED,YCDU,6301325.0,-32.12378,133.70122,Ceduna,Australia
10,1237,CES,CES,YCNK,7668703.0,-32.833332,151.35,Cessnock,Australia
9.30,1252,CFH,CFH,,8298823.0,-27.0,139.0,Clifton Hills,Australia
