age_fleet,airline_id,callsign,code_hub,code_iata_airline,code_icao_airline,code_iso2_country,iata_prefix_accounting,name_airline,name_country,size_airline,status_airline,type
0.0,3866,MIDEX,MKE,YX,MEP,US,453.0,Republic Airline Inc..,United States,0,active,scheduled
0.0,3879,Unknown,UNKNOWN,Z3*,,US,,Promech,United States,0,active,Unknown
0.0,3913,Unknown,UNKNOWN,ZJ,ARC,US,,ARINC,United States,0,active,Unknown
0.0,3930,LOCAIR,FLL,ZQ,LOC,US,,Locair,United States,0,active,"charter,virtual"
0.0,3940,CANYON VIEW,GCN,ZS,CVU,US,,Grand Canyon Airlines,United States,0,active,charter
0.0,3968,Unknown,FLL,,GFT,US,,Silver Airways,United States,25,active,scheduled
18.4,3981,OMNI-EXPRESS,TUL,,OAE,US,,Omni Air International,United States,14,active,charter
20.9,4000,BOEING,ORD,,BOE,US,,Boeing Commercial Airplane Group,United States,8,active,manufacturer
0.0,4202,ARIZONA,UNKNOWN,,AAE,US,,Express Air,United States,0,active,Unknown
0.0,4207,BOREALIS,UNKNOWN,,AAI,US,,Air Aurora,United States,0,active,Unknown
0.0,4212,ALASKA ISLAND,UNKNOWN,,AAK,US,,Alaska Island Air,United States,0,active,Unknown
0.0,4263,Unknown,UNKNOWN,,ABU,US,,Eagle Aviaton Services,United States,0,active,Unknown
0.0,4279,ACADEMY,UNKNOWN,,ACD,US,,Academy Airlines,United States,0,active,Unknown
0.0,4296,ACK AIR,UNKNOWN,,ACK,US,,Nantucket Airlines,United States,0,active,Unknown
0.0,4312,Unknown,APA,,ACT,US,,Flight Line (USA),United States,0,active,private
0.0,4314,AMERICAN CHECK,UNKNOWN,,ACT,US,,Flight Line,United States,0,active,Unknown
0.0,4382,ACE AIR,ANC,,AER,US,,ACE Air Cargo,United States,0,active,"scheduled,cargo"
0.0,4388,AVCO,UNKNOWN,,AEX,US,,Airway Express,United States,0,active,Unknown
0.0,4395,AIRFED,HPN,,AFD,US,,Panorama Flight Service,United States,0,active,private
0.0,4416,Unknown,UNKNOWN,,AFV,US,,AvFinity,United States,0,active,Unknown
0.0,4442,ANGEL MED,UNKNOWN,,AGM,US,,Aviation West Charters,United States,0,active,charter
0.0,4446,AGRICULTURE,UNKNOWN,,AGR,US,,Dept. Of Agriculture,United States,0,active,Unknown
0.0,4466,ASPEN,UNKNOWN,,AHF,US,,Aspen Helicopters,United States,0,active,private
0.0,4502,AIR CHIEF,UNKNOWN,,AIO,US,,"Chief of Staff, USAF",United States,0,active,Unknown
0.0,4538,ALPHAJET,MSL,,AJW,US,,Alpha Jet International,United States,0,active,private
0.0,4571,ACOM,UNKNOWN,,ALC,US,,Southern Jersey Airways,United States,0,active,Unknown
0.0,4624,Unknown,UNKNOWN,,AMJ,US,,Amjet Aviation,United States,0,active,Unknown
0.0,4637,AIR AM,UNKNOWN,,AMR,US,,Air American / Total Air,United States,0,active,Unknown
0.0,4717,AIR PARCEL,UNKNOWN,,APE,US,,Parcel Express,United States,0,active,Unknown
0.0,4720,AIRFLIGHT,UNKNOWN,,APH,US,,Alpha Aviation,United States,0,active,Unknown
0.0,4731,ASPEN BASE,ASE,,APQ,US,,Aspen Aviation,United States,0,active,private
0.0,4742,APA INTERNATIONAL,UNKNOWN,,APY,US,,APA International Air,United States,0,active,Unknown
0.0,4751,ALCOA SHUTTLE,UNKNOWN,,AQO,US,,"Aluminum Company Of America, Alcoa Aircraft Operations",United States,0,active,Unknown
0.0,4761,ANIMAL FLIGHTS,UNKNOWN,,ARF,US,,Animal Rescue Flights,United States,0,active,Unknown
0.0,4799,AIREX,UNKNOWN,,ARX,US,,Air Xpress,United States,0,active,Unknown
0.0,4847,ASCENSION,UNKNOWN,,ASZ,US,,Ascension Air Management,United States,0,active,Unknown
0.0,4869,ATLAS-AIR,UNKNOWN,,ATR,US,,Atlas Airlines,United States,0,active,Unknown
0.0,4889,AUDI AIR,UNKNOWN,,AUD,US,,Audi Air,United States,0,active,Unknown
0.0,4922,SKY VENTURES,UNKNOWN,,AVL,US,,Aviation Adventures,United States,0,active,Unknown
0.0,4954,AIRNAT,UNKNOWN,,AWB,US,,Airways International,United States,0,active,Unknown
0.0,4992,AIR FREIGHTER,UNKNOWN,,AXI,US,,Aeron International Airlines,United States,0,active,scheduled
0.0,4993,AJAX,UNKNOWN,,AXJ,US,,Aspen Executive Air,United States,0,active,Unknown
0.0,4998,ACTION AIR,UNKNOWN,,AXQ,US,,Action Airlines,United States,0,active,Unknown
0.0,5000,ALTUS,UNKNOWN,,AXS,US,,Altus Airlines,United States,0,active,Unknown
0.0,5006,ACADEMY AIR,UNKNOWN,,AYA,US,,Federal Aviation Administration,United States,0,active,Unknown
0.0,5053,BADLANDS,UNKNOWN,,BAD,US,,Flight Development,United States,0,active,Unknown
