status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
en-route,A21N,7C47B9,A21N,VH-OGB,QF,QFA,PER,YPPH,SYD,YSSY,QF6143,QFA6143,6143,11582.4,252.41,-38.0555,142.533,790.704,0.0,0.0,4340.0,2025-11-14 09:14:52+00:00
en-route,B738,7C6DB3,B738,VH-VYD,QF,QFA,BNE,YBBN,MEL,YMML,QF624,QFA624,624,0.0,295.31,-27.384,153.127,12.024,1.0,0.0,,2025-11-14 09:14:49+00:00
en-route,B738,7C6DD7,B738,VH-VZD,QF,QFA,MEL,YMML,SYD,YSSY,QF487,QFA487,487,11582.4,236.02,-36.7573,146.946,705.78,0.0,0.0,7257.0,2025-11-14 09:14:52+00:00
en-route,A321,151DC8,A321,RA-73160,SU,AFL,IST,LTBA,SVO,UUEE,SU2130,AFL2130,2130,10355.6,257.0,42.6798,36.6422,814.88,0.0,0.0,,2025-11-14 09:04:49+00:00
en-route,B77W,151DAA,B77W,RA-73130,SU,AFL,SVO,UUEE,PVG,ZSPD,SU209,AFL209,209,10363.2,295.52,53.1004,89.4763,820.908,0.0,-1.188,,2025-11-14 09:14:51+00:00
en-route,A320,151DD4,A320,RA-73172,SU,AFL,VOG,URWW,SVO,UUEE,SU1182,AFL1182,1182,10660.4,148.0,52.9478,42.7284,850.068,0.0,0.0,,2025-11-14 09:05:52+00:00
en-route,A333,15203D,A333,RA-73789,SU,AFL,SVO,UUEE,HKG,VHHH,SU213,AFL213,213,11582.4,301.0,51.8723,94.6367,820.436,0.0,0.0,,2025-11-14 09:05:08+00:00
en-route,B77W,151DAD,B77W,RA-73133,SU,AFL,SVO,UUEE,CAN,ZGGG,SU221,AFL221,221,10370.8,298.0,51.9874,93.0577,822.288,0.0,0.0,,2025-11-14 09:05:07+00:00
en-route,B77W,151DB8,B77W,RA-73144,SU,AFL,SVO,UUEE,KHV,UHHH,SU1713,AFL1713,1713,10363.2,281.0,62.6338,89.9726,833.4,0.0,0.0,,2025-11-14 09:05:07+00:00
en-route,B77W,151DAF,B77W,RA-73135,SU,AFL,SVO,UUEE,MLE,VRMM,SU321,AFL321,321,10370.8,328.0,21.1959,59.568,887.108,0.0,0.0,,2025-11-14 09:04:09+00:00
Unknown,B738,151D94,B738,RA-73108,SU,AFL,SVO,UUEE,DXB,OMDB,SU525,AFL525,525,10965.2,316.0,34.5711,52.7197,753.764,0.0,0.0,,2025-11-14 09:05:08+00:00
en-route,B77W,151DB6,B77W,RA-73142,SU,AFL,SVO,UUEE,BKK,VTBS,SU273,AFL273,273,10363.2,296.02,28.2238,78.1048,789.336,0.0,0.0,,2025-11-14 09:14:52+00:00
en-route,A320,152018,A320,RA-73752,SU,AFL,MRV,URMM,SVO,UUEE,SU1344,AFL1344,1344,10972.8,185.0,43.7295,45.644,592.64,0.0,0.0,,2025-11-14 09:04:49+00:00
en-route,B738,151DA9,B738,RA-73129,SU,AFL,SVO,UUEE,SSH,HESH,SU429,AFL429,429,10668.0,83.0,39.6541,34.6949,850.068,0.0,0.0,,2025-11-14 09:04:50+00:00
en-route,B738,151D9E,B738,RA-73118,SU,AFL,DXB,OMDB,SVO,UUEE,SU526,AFL526,526,10668.0,104.0,53.9063,41.352,866.736,0.0,0.0,,2025-11-14 09:05:52+00:00
en-route,A321,151DCB,A321,RA-73163,SU,AFL,IST,LTBA,SVO,UUEE,SU2132,AFL2132,2132,6858.0,182.0,55.738,38.007,761.172,0.0,0.0,,2025-11-14 09:05:51+00:00
Unknown,A320,152030,A320,RA-73776,SU,AFL,MCX,URML,SVO,UUEE,SU1054,AFL1054,1054,10370.8,168.0,50.2796,44.725,825.992,0.0,0.0,,2025-11-14 09:05:00+00:00
en-route,B738,151D9A,B738,RA-73114,SU,AFL,SVO,UUEE,IST,LTBA,SU2135,AFL2135,2135,10668.0,331.0,49.8918,43.6094,781.544,0.0,0.0,,2025-11-14 09:05:01+00:00
en-route,B77W,151DC6,B77W,RA-73158,SU,AFL,SVO,UUEE,PKC,UHPP,SU1731,AFL1731,1731,10363.2,226.0,60.091,44.5349,701.908,0.0,0.0,,2025-11-14 09:05:22+00:00
en-route,B77W,151DB1,B77W,RA-73137,SU,AFL,SVO,UUEE,VVO,UHWW,SU1703,AFL1703,1703,10363.2,271.0,65.9627,82.115,814.88,0.0,0.0,,2025-11-14 09:05:09+00:00
en-route,B77W,151DB7,B77W,RA-73143,SU,AFL,SVO,UUEE,PKC,UHPP,SU1735,AFL1735,1735,10363.2,252.0,71.0456,78.9559,950.076,0.0,0.0,,2025-11-14 09:05:05+00:00
en-route,A320,15202D,A320,RA-73773,SU,AFL,SVO,UUEE,MRV,URMM,SU1315,AFL1315,1315,8534.4,316.0,54.5279,38.4388,814.88,0.0,0.0,,2025-11-14 09:05:51+00:00
en-route,B738,151DA7,B738,RA-73127,SU,AFL,AER,URSS,SVO,UUEE,SU1134,AFL1134,1134,10363.2,226.0,46.5367,44.2263,425.96,0.0,0.0,,2025-11-14 09:04:48+00:00
en-route,A321,151DCC,A321,RA-73164,SU,AFL,SVO,UUEE,RGK,UNBG,SU1525,AFL1525,1525,10363.2,254.0,55.9751,42.4737,668.572,0.0,0.0,,2025-11-14 09:05:52+00:00
