GMT,airportId,codeIataAirport,codeIataCity,codeIcaoAirport,codeIso2Country,geonameId,latitudeAirport,longitudeAirport,nameAirport,nameCountry,phone,timezone
-6,597,BDE,BDE,KBDE,US,5017389,48.72278,-94.60694,Baudette,United States,,America/Chicago
-6,598,BDF,BDF,,US,0,41.183334,-89.65,Rinkenberger,United States,,America/Chicago
-7,599,BDG,BDG,KBDG,US,5535491,37.61667,-109.48333,Blanding,United States,,America/Denver
-5,604,BDL,BDL,KBDL,US,5282636,41.92953,-72.6847,Bradley International,United States,860-292-2000,America/New_York
-5,610,BDR,BDR,KBDR,US,5282804,41.164165,-73.12444,Igor I. Sikorsky Memorial,United States,,America/New_York
-7,616,BDX,BDX,,US,5642048,45.466667,-105.36667,Broadus,United States,,America/Denver
-8,617,BDY,BDY,,US,0,43.11667,-124.416664,State,United States,,America/Los_Angeles
-6,620,BEC,ICT,KBEC,US,4268051,37.683334,-97.333336,Beech,United States,,America/Chicago
-5,621,BED,BED,KBED,US,4941730,42.470833,-71.29,Hanscom Field,United States,,America/New_York
-5,625,BEH,BEH,,US,5007668,42.127777,-86.42833,Ross Field,United States,,America/Detroit
-9,635,BET,BET,PABE,US,5880572,60.784443,-161.83139,Bethel Airport,United States,,America/Anchorage
-9,643,BFB,BFB,,US,8299094,58.183334,-152.13333,Blue Fox Bay,United States,,America/Anchorage
-5,645,BFD,BFD,KBFD,US,5181425,41.802223,-78.63944,Bradford,United States,,America/New_York
-7,647,BFF,BFF,KBFF,US,5700615,41.87528,-103.60111,Western Neb. Regional,United States,,America/Denver
-7,648,BFG,BFG,,US,5536135,37.545834,-110.71333,Bullfrog Basin,United States,,America/Denver
-8,650,BFI,SEA,KBFI,US,5787710,47.5371,-122.3037,Boeing Field/King County International Airport,United States,,America/Los_Angeles
-7,651,BFK,DEN,,US,0,39.733334,-104.86667,Buffalo Municipal Airport,United States,,America/Denver
-8,652,BFL,BFL,KBFL,US,5371940,35.429626,-119.04533,Meadows Field,United States,,America/Los_Angeles
