status,type,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared
landed,arrival,8840FA,A319,HS-PGZ,PG,BKP,Bangkok Airways,2025-11-14T08:39:00.000,2025-11-14T08:39:00.000,1,,2025-11-14T08:39:00.000,2025-11-14T08:37:00.000,,BKK,VTBS,2025-11-14T09:10:00.000,1,,,,,,,2025-11-14T07:53:00.000,2025-11-14T07:53:00.000,,,2025-11-14T07:53:00.000,2025-11-14T07:44:00.000,,USM,VTSM,2025-11-14T07:55:00.000,,PG104,BKP104,104,
landed,arrival,884206,A319,HS-PPF,PG,BKP,Bangkok Airways,2025-11-14T09:20:00.000,2025-11-14T09:20:00.000,1,,2025-11-14T09:20:00.000,2025-11-14T09:19:00.000,A2,BKK,VTBS,2025-11-14T09:45:00.000,1,,,,,,,2025-11-14T08:28:00.000,2025-11-14T08:28:00.000,,,2025-11-14T08:28:00.000,2025-11-14T08:18:00.000,,USM,VTSM,2025-11-14T08:30:00.000,,PG106,BKP106,106,
landed,arrival,8840F8,A319,HS-PGX,KC,KZR,Air Astana,2025-11-14T07:48:00.000,2025-11-14T07:48:00.000,,,2025-11-14T07:48:00.000,2025-11-14T07:59:00.000,,BKK,VTBS,2025-11-14T08:15:00.000,1,pg,bkp,bangkok airways,pg102,bkp102,102,2025-11-14T07:03:00.000,2025-11-14T07:03:00.000,,2,2025-11-14T07:03:00.000,2025-11-14T06:48:00.000,,USM,VTSM,2025-11-14T07:01:00.000,,KC1102,KZR1102,1102,
landed,arrival,8840FA,A319,HS-PGZ,KC,KZR,Air Astana,2025-11-14T08:39:00.000,2025-11-14T08:39:00.000,1,,2025-11-14T08:39:00.000,2025-11-14T08:37:00.000,,BKK,VTBS,2025-11-14T09:10:00.000,1,pg,bkp,bangkok airways,pg104,bkp104,104,2025-11-14T07:53:00.000,2025-11-14T07:53:00.000,,,2025-11-14T07:53:00.000,2025-11-14T07:44:00.000,,USM,VTSM,2025-11-14T07:55:00.000,,KC1104,KZR1104,1104,
landed,arrival,884206,A319,HS-PPF,KC,KZR,Air Astana,2025-11-14T09:20:00.000,2025-11-14T09:20:00.000,1,,2025-11-14T09:20:00.000,2025-11-14T09:19:00.000,A2,BKK,VTBS,2025-11-14T09:45:00.000,1,pg,bkp,bangkok airways,pg106,bkp106,106,2025-11-14T08:28:00.000,2025-11-14T08:28:00.000,,,2025-11-14T08:28:00.000,2025-11-14T08:18:00.000,,USM,VTSM,2025-11-14T08:30:00.000,,KC1106,KZR1106,1106,
landed,arrival,884341,AT76,HS-PZA,KC,KZR,Air Astana,2025-11-14T10:45:00.000,2025-11-14T10:45:00.000,1,,2025-11-14T10:45:00.000,2025-11-14T10:46:00.000,,BKK,VTBS,2025-11-14T11:15:00.000,1,pg,bkp,bangkok airways,pg122,bkp122,122,2025-11-14T09:24:00.000,2025-11-14T09:24:00.000,,,2025-11-14T09:24:00.000,,,USM,VTSM,2025-11-14T09:35:00.000,,KC1122,KZR1122,1122,
landed,arrival,884202,A319,HS-PPB,KC,KZR,Air Astana,2025-11-14T11:00:00.000,2025-11-14T11:00:00.000,1,,2025-11-14T11:00:00.000,2025-11-14T10:58:00.000,A2,BKK,VTBS,2025-11-14T11:15:00.000,1,pg,bkp,bangkok airways,pg124,bkp124,124,2025-11-14T10:03:00.000,2025-11-14T10:03:00.000,,3,2025-11-14T10:03:00.000,2025-11-14T09:48:00.000,,USM,VTSM,2025-11-14T10:00:00.000,,KC1124,KZR1124,1124,
landed,arrival,884341,AT76,HS-PZA,PG,BKP,Bangkok Airways,2025-11-14T10:45:00.000,2025-11-14T10:45:00.000,1,,2025-11-14T10:45:00.000,2025-11-14T10:46:00.000,,BKK,VTBS,2025-11-14T11:15:00.000,1,,,,,,,2025-11-14T09:24:00.000,2025-11-14T09:24:00.000,,,2025-11-14T09:24:00.000,,,USM,VTSM,2025-11-14T09:35:00.000,,PG122,BKP122,122,
landed,arrival,884202,A319,HS-PPB,PG,BKP,Bangkok Airways,2025-11-14T11:00:00.000,2025-11-14T11:00:00.000,1,,2025-11-14T11:00:00.000,2025-11-14T10:58:00.000,A2,BKK,VTBS,2025-11-14T11:15:00.000,1,,,,,,,2025-11-14T10:03:00.000,2025-11-14T10:03:00.000,,3,2025-11-14T10:03:00.000,2025-11-14T09:48:00.000,,USM,VTSM,2025-11-14T10:00:00.000,,PG124,BKP124,124,
landed,arrival,8840F8,A319,HS-PGX,PR,PAL,Philippine Airlines,2025-11-14T07:48:00.000,2025-11-14T07:48:00.000,,,2025-11-14T07:48:00.000,2025-11-14T07:59:00.000,,BKK,VTBS,2025-11-14T08:15:00.000,1,pg,bkp,bangkok airways,pg102,bkp102,102,2025-11-14T07:03:00.000,2025-11-14T07:03:00.000,,2,2025-11-14T07:03:00.000,2025-11-14T06:48:00.000,,USM,VTSM,2025-11-14T07:01:00.000,,PR3703,PAL3703,3703,
