status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,A339,A4F5F0,A339,N419DX,DL,DAL,GRU,SBGR,JFK,KJFK,DL227,DAL227,227,11277.6,170.0,3.6657,-54.9058,881.552,0.0,0.0,,1763109108
en-route,B764,AB6FBF,B764,N836MH,DL,DAL,LHR,EGLL,JFK,KJFK,DL3,DAL3,3,10668.0,91.0,50.0299,-16.4857,838.956,0.0,0.0,,1763109128
en-route,A21N,A79DC4,A21N,N590DT,DL,DAL,TPA,KTPA,LAX,KLAX,DL910,DAL910,910,10668.0,102.0,31.2336,-99.23,881.552,0.0,0.0,,1763109149
en-route,A21N,A69BCD,A21N,N525DA,DL,DAL,MCO,KMCO,SLC,KSLC,DL2064,DAL2064,2064,10668.0,108.0,37.696,-98.9696,938.964,0.0,0.0,,1763109054
en-route,A333,AAEA8C,A333,N802NW,DL,DAL,AMS,EHAM,DTW,KDTW,DL136,DAL136,136,11277.6,81.0,50.9298,-7.8291,846.364,0.0,0.0,,1763109131
landed,B738,A44CCA,B738,N3762Y,DL,DAL,LAX,KLAX,SEA,KSEA,DL2920,DAL2920,2920,0.0,95.0,33.9512,-118.409,51.856,1.0,0.0,,1763109134
en-route,A333,AB599B,A333,N830NW,DL,DAL,ATL,KATL,HNL,PHNL,DL309,DAL309,309,10668.0,76.0,34.1596,-113.255,985.264,0.0,0.0,,1763109148
en-route,A333,AB4866,A333,N826NW,DL,DAL,GRU,SBGR,ATL,KATL,DL269,DAL269,269,11277.6,151.0,0.773,-57.1314,864.884,0.0,0.0,,1763109088
en-route,A339,A4E35F,A339,N414DZ,DL,DAL,EZE,SAEZ,ATL,KATL,DL101,DAL101,101,11277.6,133.0,-12.8218,-66.1557,913.036,0.0,0.0,,1763109154
en-route,A21N,A7A8ED,A21N,N593DX,DL,DAL,JFK,KJFK,LAS,KLAS,DL568,DAL568,568,10660.4,69.0,38.3305,-107.995,951.928,0.0,0.0,,1763109118
en-route,A21N,A7A17B,A21N,N591DT,DL,DAL,CVG,KCVG,LAX,KLAX,DL458,DAL458,458,10660.4,75.0,37.3707,-107.801,931.556,0.0,0.0,,1763109117
en-route,B764,AB60E3,B764,N832MH,DL,DAL,LHR,EGLL,ATL,KATL,DL36,DAL36,36,10057.2,73.0,48.1481,-34.9429,911.184,0.0,0.0,,1763109106
en-route,B763,A0F44C,B763,N1602,DL,DAL,ATL,KATL,UIO,SEQM,DL632,DAL632,632,10972.8,351.0,18.2557,-81.1337,863.032,0.0,0.0,,1763109156
en-route,B763,A120F3,B763,N172DN,DL,DAL,ATL,KATL,SEA,KSEA,DL652,DAL652,652,11277.6,109.0,45.3752,-111.318,929.704,0.0,0.0,,1763109118
en-route,A21N,A6CACB,A21N,N537DT,DL,DAL,BOS,KBOS,LAS,KLAS,DL373,DAL373,373,9204.96,63.0,36.6299,-113.27,979.708,0.0,0.0,,1763109119
en-route,B739,AB879F,B739,N842DN,DL,DAL,ATL,KATL,SMF,KSMF,DL769,DAL769,769,10668.0,104.0,40.8247,-102.247,985.264,0.0,0.0,,1763109103
en-route,B739,ACC9B2,B739,N923DZ,DL,DAL,DTW,KDTW,LAX,KLAX,DL407,DAL407,407,10058.4,74.0,39.9733,-100.586,961.188,0.0,0.0,,1763109102
started,A359,A74ECC,A359,N570DZ,DL,DAL,AKL,NZAA,LAX,KLAX,DL65,DAL65,65,0.0,354.0,33.9469,-118.409,0.0,1.0,0.0,,1763109134
en-route,A21N,A77035,A21N,N579DT,DL,DAL,DTW,KDTW,PDX,KPDX,DL704,DAL704,704,10058.4,90.0,46.6129,-112.415,987.116,0.0,0.0,,1763109117
en-route,A21N,A641BF,A21N,N502DX,DL,DAL,FLL,KFLL,LAX,KLAX,DL477,DAL477,477,9083.04,101.0,33.387,-115.03,935.26,0.0,0.0,,1763109134
en-route,B763,A16C3A,B763,N191DN,DL,DAL,JFK,KJFK,SFO,KSFO,DL319,DAL319,319,10668.0,74.0,40.7818,-112.624,1044.53,0.0,0.0,,1763109119
en-route,B763,A13748,B763,N178DZ,DL,DAL,LAX,KLAX,HNL,PHNL,DL658,DAL658,658,10668.0,87.0,21.4997,-152.703,892.664,0.0,0.0,,1763109077
en-route,A21N,A64CE6,A21N,N505DZ,DL,DAL,MCO,KMCO,SEA,KSEA,DL448,DAL448,448,7086.6,112.0,47.1661,-120.763,803.768,0.0,0.0,,1763109134
en-route,B739,AAFFED,B739,N808DN,DL,DAL,ATL,KATL,SJC,KSJC,DL1102,DAL1102,1102,10668.0,89.0,39.434,-108.793,985.264,0.0,0.0,,1763109117
en-route,A21N,A75634,A21N,N572DT,DL,DAL,ATL,KATL,LAX,KLAX,DL899,DAL899,899,10058.4,83.0,34.6202,-105.896,927.852,0.0,0.0,,1763109118
en-route,A21N,A6B0BD,A21N,N530DE,DL,DAL,JFK,KJFK,SAN,KSAN,DL403,DAL403,403,10675.6,78.0,41.0067,-99.9192,968.596,0.0,0.0,,1763109103
en-route,B738,A47D05,B738,N389DA,DL,DAL,BWI,KBWI,SLC,KSLC,DL2079,DAL2079,2079,11277.6,94.0,41.8049,-94.5686,940.816,0.0,0.0,,1763109097
en-route,A21N,A7650B,A21N,N576DN,DL,DAL,PHL,KPHL,SLC,KSLC,DL2075,DAL2075,2075,11277.6,91.0,42.0858,-96.7866,937.112,0.0,0.0,,1763109098
en-route,B738,A44943,B738,N3754A,DL,DAL,ANC,PANC,SEA,KSEA,DL936,DAL936,936,11582.4,321.0,51.0543,-127.192,659.312,0.0,0.0,,1763109134
en-route,B752,A8BBFF,B752,N662DN,DL,DAL,TPA,KTPA,IAD,KIAD,DL8838,DAL8838,8838,12214.9,200.0,32.8583,-81.2566,835.252,0.0,0.0,,1763109125
,A359,A75DA8,A359,N574DZ,DL,DAL,LAX,KLAX,BNE,YBBN,DL92,DAL92,92,11887.2,44.0,8.3136,-155.706,916.74,0.0,0.0,,1763109095
en-route,B764,AB4489,B764,N825MH,DL,DAL,GIG,SBGL,ATL,KATL,DL61,DAL61,61,10058.4,150.0,-6.9904,-52.9727,870.44,0.0,0.0,,1763109039
en-route,A21N,A6EE8E,A21N,N546DN,DL,DAL,DTW,KDTW,SEA,KSEA,DL810,DAL810,810,10066.0,96.0,47.682,-108.048,931.556,0.0,0.0,,1763109118
en-route,A333,AB1979,A333,N814NW,DL,DAL,AMS,EHAM,MCO,KMCO,DL90,DAL90,90,11330.9,72.0,48.8861,-5.8788,864.884,0.0,0.0,,1763109140
en-route,A359,A661C7,A359,N510DN,DL,DAL,TPE,RCTP,SEA,KSEA,DL69,DAL69,69,11887.2,224.0,42.3894,147.473,759.32,0.0,0.0,,1763109117
en-route,A359,A6657E,A359,N511DN,DL,DAL,SEA,KSEA,TPE,RCTP,DL68,DAL68,68,11890.9,71.0,47.5971,-177.474,1022.3,0.0,0.0,,1763109117
unknown,A359,A6A6FE,A359,N528DN,DL,DAL,ICN,RKSI,SLC,KSLC,DL173,DAL173,173,60.96,324.0,37.4422,126.477,240.76,0.0,0.0,,1763108544
en-route,A359,A67811,A359,N516DN,DL,DAL,DTW,KDTW,HND,RJTT,DL274,DAL274,274,10363.2,58.0,37.5626,146.404,722.28,0.0,0.0,,1763109100
started,B764,AB9387,B764,N845MH,DL,DAL,ATL,KATL,RAK,GMMX,DL187,DAL187,187,0.0,270.0,31.6039,-8.0272,14.816,1.0,0.0,,1763109093
en-route,B772,AA75EF,B772,N773UA,UA,UAL,DEN,KDEN,HNL,PHNL,UA383,UAL383,383,8839.2,55.0,23.8461,-146.661,870.44,0.0,0.0,,1763109078
